,0000 - 0100,0100 - 0200,0200 - 0300,0300 - 0400,0400 - 0500,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,0900 - 1000,1000 - 1100,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 0000
US Citizen Avg,21,7,8,8,15,26,12,13,20,27,46,29,32,25,22,31,30,25,20,19,37,16,10,12
Non-Citizen Avg,32,10,16,10,38,59,22,18,31,62,90,118,102,78,88,87,109,95,78,68,72,36,10,21
