,0900 - 1000,1200 - 1300,1300 - 1400,1500 - 1600,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2300 - 0000
US Citizen Avg,18,11,17,11,14,21,12,13,18,12
Non-Citizen Avg,39,28,50,25,32,33,14,20,28,18
