,0500 - 0600,0600 - 0700,0700 - 0800,0800 - 0900,1100 - 1200,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 0000
US Citizen Avg,25,33,11,14,13,14,15,13,15,19,13,17,15,25,17,12,12
Non-Citizen Avg,45,54,22,12,17,17,24,31,26,25,13,37,49,57,35,19,27
