,0500 - 0600,0600 - 0700,0700 - 0800,0900 - 1000,1000 - 1100,1200 - 1300,1300 - 1400,1400 - 1500,1500 - 1600,1600 - 1700,1700 - 1800,1800 - 1900,1900 - 2000,2000 - 2100,2100 - 2200,2200 - 2300,2300 - 0000
US Citizen Avg,21,11,14,18,10,7,14,11,11,8,18,16,10,10,17,14,19
Non-Citizen Avg,44,39,26,31,18,24,35,28,37,24,28,29,43,43,40,18,28
